q,eps,B_i,mu_i,sig_i,thresh,mean_abs_belief,score,N_i
0.3071,0.35,-0.320856588105558,2.0331491712707184,1.0453821236168936,0.49379487685105233,0.6282759838028802,33.0,181.0
0.4357,0.35,-0.33300534775940555,1.7951219512195122,0.8982235094522844,0.4683789335187336,0.6073835096405025,45.0,205.0
0.5643,0.35,-0.284104664075892,1.581896551724138,0.8819159333158605,0.44311070772453115,0.6142504101075968,39.0,232.0
0.6929,0.35,-0.24686778715865776,1.4375,0.8682777493406127,0.409633517645344,0.6161781322482867,56.0,256.0
0.8214,0.35,-0.40730917727767774,1.190938511326861,0.5015659227458737,0.3681008613632963,0.5997525827828947,86.0,309.0
0.95,0.35,-0.6714114578908721,1.0308123249299719,0.2026509495539039,0.3145685546363655,0.618231232532302,109.0,357.0
0.05,0.35,-0.46395630224533957,2.245398773006135,0.8221774511779609,0.5322168137473082,0.7125272179276502,6.0,163.0
0.1786,0.35,-0.38109080848743354,2.1271676300578033,0.9532491202172503,0.5150945736855667,0.696565945649884,8.0,173.0
0.3071,0.35,-0.31122864807897016,1.9572192513368984,1.0281018125436747,0.49379487685105233,0.6558770043843488,26.0,187.0
0.4357,0.35,-0.30605280324079703,1.8775510204081634,0.997602290008183,0.4683789335187336,0.6321234092701777,43.0,196.0
0.5643,0.35,-0.23894650329287415,1.665158371040724,1.0228646656522458,0.44311070772453115,0.5930842444397726,56.0,221.0
0.6929,0.35,-0.30393759343787546,1.3863636363636365,0.7400627253588474,0.409633517645344,0.6238595878923427,74.0,264.0
0.8214,0.35,-0.36346092228451243,1.2192691029900333,0.5692223499914248,0.3681008613632963,0.6157445557467437,64.0,301.0
0.95,0.35,-0.5429398986373273,1.0545977011494252,0.3124000698989618,0.3145685546363655,0.6190255198167977,107.0,348.0
0.05,0.35,-0.3525175896331487,2.537931034482759,1.2149680833337226,0.5322168137473082,0.7145573888292027,0.0,145.0
0.1786,0.35,-0.3612661659803089,2.271604938271605,1.0658833429209569,0.5150945736855667,0.6213397288496325,11.0,162.0
0.3071,0.35,-0.32871331685847943,1.9267015706806283,0.9733996719801921,0.49379487685105233,0.6753773030513188,36.0,191.0
0.4357,0.35,-0.34126023175547543,1.7345971563981042,0.8519212765354055,0.4683789335187336,0.6157610828444556,42.0,211.0
0.5643,0.35,-0.2903024802252777,1.5040983606557377,0.8272904163279858,0.44311070772453115,0.6121456816355872,42.0,244.0
0.6929,0.35,-0.3511803511067447,1.3825757575757576,0.6638953244575136,0.409633517645344,0.6214223061225663,74.0,264.0
0.8214,0.35,-0.33656852029539897,1.248299319727891,0.6196173650852463,0.3681008613632963,0.5891128956648026,81.0,294.0
